id,label
0075_351,0075
006b_1926,006b
0039_754,0039
0066_2352,0066
0072_342,0072
004f_116,004f
002d_2368,002d
006c_583,006c
0049_480,0049
007a_2991,007a
00f3_451,00f3
0033_2813,0033
0045_1315,0045
0042_1071,0042
0050_556,0050
0064_2342,0064
0049_636,0049
0105_2348,0105
0072_1252,0072
0055_1198,0055
0043_722,0043
004e_1282,004e
0075_2187,0075
004b_329,004b
0045_1949,0045
003f_1692,003f
0039_2841,0039
0045_1256,0045
006b_1907,006b
0075_1926,0075
0030_2319,0030
0049_2921,0049
003a_2778,003a
0070_953,0070
0068_1609,0068
0050_672,0050
0057_2697,0057
004b_2497,004b
015a_1635,015a
0029_2268,0029
0039_2563,0039
0105_2139,0105
0048_1672,0048
002d_2974,002d
0032_798,0032
004c_961,004c
201e_1532,201e
0033_2172,0033
0029_377,0029
0054_912,0054
0119_567,0119
0034_2204,0034
0055_2041,0055
007a_303,007a
0063_2964,0063
006e_851,006e
0141_1649,0141
004c_733,004c
006f_219,006f
004f_2282,004f
0062_320,0062
0068_1011,0068
006e_1339,006e
0042_1039,0042
006d_29,006d
0073_1949,0073
0042_2897,0042
0142_1229,0142
017b_2919,017b
006b_1790,006b
0050_2045,0050
0053_776,0053
0053_1941,0053
004c_1591,004c
0021_914,0021
0055_1745,0055
006e_698,006e
006b_2156,006b
004b_396,004b
0047_2083,0047
0052_620,0052
0067_41,0067
0054_1621,0054
0050_2680,0050
0046_371,0046
017c_1218,017c
0144_604,0144
0035_1671,0035
006a_1491,006a
0067_113,0067
0035_2687,0035
006e_441,006e
006e_462,006e
006d_161,006d
0030_398,0030
006d_1540,006d
201d_498,201d
0119_700,0119
0049_2661,0049
0142_2743,0142
003f_1968,003f
006e_2843,006e
0028_2992,0028
004c_480,004c
0055_1196,0055
004c_816,004c
006a_2729,006a
007a_460,007a
0066_2377,0066
006e_1384,006e
0066_1115,0066
0036_808,0036
015a_2014,015a
0042_657,0042
0052_769,0052
0045_2176,0045
0062_20,0062
006f_1552,006f
0063_2072,0063
0119_2602,0119
006e_1377,006e
0039_800,0039
0048_2442,0048
0045_370,0045
0028_1399,0028
004c_2012,004c
006a_291,006a
006c_2966,006c
0047_1865,0047
0144_2973,0144
0052_2611,0052
003d_2213,003d
0057_1483,0057
00d3_138,00d3
0021_2989,0021
005a_489,005a
00f3_765,00f3
0141_2070,0141
006f_895,006f
0039_2611,0039
0038_2248,0038
0029_1878,0029
0050_423,0050
0074_2051,0074
00f3_2339,00f3
0028_1954,0028
006b_772,006b
0021_2471,0021
015b_2702,015b
0031_778,0031
015b_427,015b
0044_2372,0044
0061_1048,0061
0038_2276,0038
0064_732,0064
006f_2529,006f
0077_888,0077
0144_2546,0144
0077_41,0077
0046_2139,0046
0050_1834,0050
0079_1345,0079
0021_1140,0021
0105_65,0105
004e_161,004e
004c_993,004c
017c_398,017c
004e_2406,004e
004a_966,004a
017b_2080,017b
0045_1425,0045
006c_2688,006c
0042_1163,0042
0067_892,0067
0061_2178,0061
0033_1327,0033
0064_67,0064
0062_173,0062
004f_2717,004f
002c_1874,002c
0055_623,0055
0073_2811,0073
002d_632,002d
004c_1903,004c
006b_1151,006b
006e_349,006e
0062_2091,0062
0141_58,0141
017b_875,017b
0072_1212,0072
0073_1003,0073
0079_1079,0079
004e_1113,004e
0043_2731,0043
0079_1640,0079
0061_2394,0061
0037_2274,0037
0105_1397,0105
0067_1430,0067
0038_2685,0038
004e_1478,004e
0070_2875,0070
0059_1738,0059
017b_2535,017b
0070_2854,0070
0042_2819,0042
0037_1641,0037
0049_2100,0049
0033_96,0033
0041_1579,0041
0038_1548,0038
0034_2951,0034
004c_1910,004c
0032_678,0032
0064_2675,0064
006d_891,006d
0119_2589,0119
00f3_1190,00f3
004a_642,004a
007a_746,007a
0067_1712,0067
0033_2576,0033
0050_1446,0050
004a_2707,004a
0075_791,0075
0030_1659,0030
0061_822,0061
0049_684,0049
00f3_2807,00f3
007a_1685,007a
006f_630,006f
0043_271,0043
0031_1364,0031
0037_675,0037
0054_1597,0054
0075_930,0075
007a_957,007a
0142_1507,0142
00f3_1584,00f3
0037_2425,0037
017a_2024,017a
004d_1138,004d
015b_1634,015b
0077_685,0077
0035_2060,0035
0055_1176,0055
0021_843,0021
0144_24,0144
00f3_596,00f3
00f3_988,00f3
0063_1722,0063
0075_1307,0075
0066_2501,0066
004d_2149,004d
002d_1714,002d
0034_1407,0034
0031_680,0031
0064_985,0064
004c_1576,004c
0063_263,0063
0043_1328,0043
0073_595,0073
017a_598,017a
