id,label
0021_1,0021
0021_10,0021
0021_100,0021
0021_101,0021
0021_103,0021
0021_105,0021
0021_106,0021
0021_107,0021
0021_108,0021
0021_11,0021
0021_110,0021
0021_113,0021
0021_114,0021
0021_115,0021
0021_117,0021
0021_118,0021
0021_119,0021
0021_120,0021
0021_121,0021
0021_122,0021
0021_124,0021
0021_125,0021
0021_126,0021
0021_127,0021
0021_128,0021
0021_13,0021
0021_15,0021
0021_16,0021
0021_17,0021
0021_18,0021
0021_19,0021
0021_2,0021
0021_20,0021
0021_21,0021
0021_22,0021
0021_23,0021
0021_24,0021
0021_25,0021
0021_3,0021
0021_30,0021
0021_31,0021
0021_32,0021
0021_34,0021
0021_38,0021
0021_4,0021
0021_5,0021
0021_56,0021
0021_58,0021
0021_6,0021
0021_61,0021
0021_62,0021
0021_68,0021
0021_69,0021
0021_7,0021
0021_70,0021
0021_71,0021
0021_74,0021
0021_79,0021
0021_8,0021
0021_80,0021
0021_81,0021
0021_82,0021
0021_83,0021
0021_84,0021
0021_86,0021
0021_87,0021
0021_88,0021
0021_9,0021
0021_90,0021
0021_94,0021
0021_95,0021
0021_96,0021
0021_97,0021
0021_99,0021
0028_1,0028
0028_100,0028
0028_101,0028
0028_102,0028
0028_103,0028
0028_104,0028
0028_105,0028
0028_106,0028
0028_107,0028
0028_108,0028
0028_109,0028
0028_110,0028
0028_111,0028
0028_112,0028
0028_113,0028
0028_114,0028
0028_115,0028
0028_116,0028
0028_117,0028
0028_118,0028
0028_119,0028
0028_121,0028
0028_122,0028
0028_123,0028
0028_124,0028
0028_125,0028
0028_126,0028
0028_127,0028
0028_128,0028
0028_129,0028
0028_130,0028
0028_131,0028
0028_134,0028
0028_135,0028
0028_138,0028
0028_141,0028
0028_144,0028
0028_145,0028
0028_17,0028
0028_18,0028
0028_19,0028
0028_2,0028
0028_20,0028
0028_21,0028
0028_22,0028
0028_23,0028
0028_24,0028
0028_25,0028
0028_26,0028
0028_27,0028
0028_28,0028
0028_29,0028
0028_3,0028
0028_30,0028
0028_31,0028
0028_33,0028
0028_34,0028
0028_35,0028
0028_36,0028
0028_37,0028
0028_38,0028
0028_39,0028
0028_40,0028
0028_41,0028
0028_42,0028
0028_43,0028
0028_44,0028
0028_45,0028
0028_46,0028
0028_47,0028
0028_48,0028
0028_49,0028
0028_5,0028
0028_50,0028
0028_51,0028
0028_52,0028
0028_53,0028
0028_54,0028
0028_55,0028
0028_56,0028
0028_57,0028
0028_58,0028
0028_59,0028
0028_6,0028
0028_60,0028
0028_61,0028
0028_62,0028
0028_63,0028
0028_64,0028
0028_65,0028
0028_66,0028
0028_67,0028
0028_68,0028
0028_69,0028
0028_70,0028
0028_71,0028
0028_72,0028
0028_73,0028
0028_74,0028
0028_75,0028
0028_76,0028
0028_77,0028
0028_78,0028
0028_79,0028
0028_80,0028
0028_81,0028
0028_82,0028
0028_83,0028
0028_84,0028
0028_85,0028
0028_86,0028
0028_87,0028
0028_88,0028
0028_89,0028
0028_90,0028
0028_91,0028
0028_92,0028
0028_93,0028
0028_94,0028
0028_95,0028
0028_96,0028
0028_97,0028
0028_98,0028
0028_99,0028
0029_10,0029
0029_100,0029
0029_102,0029
0029_103,0029
0029_104,0029
0029_106,0029
0029_107,0029
0029_108,0029
0029_109,0029
0029_11,0029
0029_110,0029
0029_111,0029
0029_112,0029
0029_113,0029
0029_114,0029
0029_115,0029
0029_116,0029
0029_117,0029
0029_119,0029
0029_12,0029
0029_120,0029
0029_121,0029
0029_123,0029
0029_124,0029
0029_125,0029
0029_126,0029
0029_127,0029
0029_128,0029
0029_13,0029
0029_130,0029
0029_131,0029
0029_132,0029
0029_133,0029
0029_134,0029
0029_135,0029
0029_137,0029
0029_138,0029
0029_139,0029
0029_14,0029
0029_140,0029
